thisRow.t,notes,subid,session,run,trial.system.time,trial.number,trial.type,Tgt.OnsetTime,trial.target_dur,trial.reward,Fix_after_target.OnsetTime,Fix_ITI.OnsetTime,Fix_ITI.Duration,time.trial,time.global,Winnings,trial.rt,MRT,Cue.OnsetTime,Dly.OnsetTime,Tgt.ACC,Tgt.ACCfeedback,total_earnings,Fb.OnsetTime,trial.cue_rt,trial.too_slow_rt,participant,session,fMRI? (yes or no),fMRI trigger on TTL? (yes or no),fMRI reverse screen? (yes or no),start run (0-2),task screen,date,expName,frameRate,
,,999,1,0,Thu Mar 27 21:47:24 2025,1,loss.neut,5.0052162499923725,0.5,-0.0,5.508216832997277,9.000600582992774,2,5.997727167006815,11.002448625004035,0.0,,,,,,,,,,,999,1,yes,no,no,0,2,2025-03-27_21h46.50.372,MID1.1,None,
,,999,1,0,Thu Mar 27 21:47:30 2025,2,loss.neut,11.002885790992877,0.52,-0.0,11.536589499999536,15.003030415988178,6,10.002483040996594,21.005261915997835,0.0,,,,,,,,,,,999,1,yes,no,no,0,2,2025-03-27_21h46.50.372,MID1.1,None,
,,999,1,0,Thu Mar 27 21:47:40 2025,3,loss.low,21.005763207998825,0.5,,21.511658332994557,25.274869499990018,6,10.280361917000846,31.285959083004855,0.0,0.23704425001051277,,,,,,,,,,999,1,yes,no,no,0,2,2025-03-27_21h46.50.372,MID1.1,None,
,,999,1,0,Thu Mar 27 21:47:50 2025,4,loss.high,31.286772957988433,0.5,,31.78996837500017,35.53534087499429,4,8.249639791989466,39.536161625001114,0.0,0.2692752079892671,,,,,,,,,,999,1,yes,no,no,0,2,2025-03-27_21h46.50.372,MID1.1,None,
,,999,1,0,Thu Mar 27 21:47:58 2025,5,reward.high,39.53690908299177,0.5,5.0,40.039722290995996,43.70288287498988,4,8.167658334001317,47.70431220800674,5.0,0.3371107499988284,,,,,,,,,,999,1,yes,no,no,0,2,2025-03-27_21h46.50.372,MID1.1,None,
,,999,1,0,Thu Mar 27 21:48:06 2025,6,reward.neut,47.704783790992224,0.5,0.0,48.20725466599106,51.88651804099209,4,8.184296749997884,55.88891091600817,5.0,0.3330794999928912,,,,,,,,,,999,1,yes,no,no,0,2,2025-03-27_21h46.50.372,MID1.1,None,
,,999,1,0,Thu Mar 27 21:48:15 2025,7,reward.low,55.889175499993144,0.5,1.5,56.404526957994676,60.105123124987585,4,8.230181666993303,64.11928637500387,6.5,0.30301112499728333,,,,,,,,,,999,1,yes,no,no,0,2,2025-03-27_21h46.50.372,MID1.1,None,
,,999,1,0,Thu Mar 27 21:48:23 2025,8,loss.high,64.12004554099985,0.48,,64.60505679099879,68.28602666599909,6,10.16798904100142,74.28781170801085,6.5,0.33357274999434594,,,,,,,,,,999,1,yes,no,no,0,2,2025-03-27_21h46.50.372,MID1.1,None,
,,999,1,0,Thu Mar 27 21:48:33 2025,9,loss.high,74.28823704099341,0.46,,74.75276466598734,78.35080879098678,2,6.064798792009242,80.35293624999758,6.5,0.40634087499347515,,,,,,,,,,999,1,yes,no,no,0,2,2025-03-27_21h46.50.372,MID1.1,None,
,,999,1,0,Thu Mar 27 21:48:39 2025,10,loss.low,80.35382574998948,0.48,-1.5,80.84139387498726,84.35143016598886,2,5.998882999992929,86.3524395830027,5.0,,,,,,,,,,,999,1,yes,no,no,0,2,2025-03-27_21h46.50.372,MID1.1,None,
,,999,1,0,Thu Mar 27 21:48:45 2025,11,loss.low,86.35285566598759,0.5,-1.5,86.85565691599913,90.33916249999311,6,9.98725116699643,96.34001333299966,3.5,,,,,,,,,,,999,1,yes,no,no,0,2,2025-03-27_21h46.50.372,MID1.1,None,
,,999,1,0,Thu Mar 27 21:48:55 2025,12,reward.neut,96.340530165995,0.48,,96.82526108299498,100.33589637499244,2,5.997700040999916,102.33804925000004,3.5,,,,,,,,,,,999,1,yes,no,no,0,2,2025-03-27_21h46.50.372,MID1.1,None,
,,999,1,0,Thu Mar 27 21:49:01 2025,13,reward.neut,102.33848145799129,0.5,,102.85416008299217,106.33636424998986,6,9.99923020901042,112.3376130000106,3.5,,,,,,,,,,,999,1,yes,no,no,0,2,2025-03-27_21h46.50.372,MID1.1,None,
,,999,1,0,Thu Mar 27 21:49:11 2025,14,reward.high,112.33811174999573,0.48,,112.82239283299714,116.32371354098723,4,7.997538417010219,120.33548629100551,3.5,,,,,,,,,,,999,1,yes,no,no,0,2,2025-03-27_21h46.50.372,MID1.1,None,
,,999,1,0,Thu Mar 27 21:49:19 2025,15,reward.low,120.33585354099341,0.48,,120.82205541599251,124.32278520798718,6,9.98739533299522,130.3231308329996,3.5,,0.410628963865107,,,,,,,,,999,1,yes,no,no,0,2,2025-03-27_21h46.50.372,MID1.1,None,
,,999,1,0,Thu Mar 27 21:50:28 2025,1,loss.neut,5.0080967910034815,0.5,-0.0,5.512706166002317,8.99523354099074,4,7.987785791992792,12.99571291700704,0.0,,,,,,,,,,,999,1,yes,no,no,0,2,2025-03-27_21h46.50.372,MID1.1,None,
,,999,1,0,Thu Mar 27 21:50:35 2025,2,loss.neut,12.996147874990129,0.52,-0.0,13.52854162499716,16.990863375001936,2,5.998073374998057,18.99415537501045,0.0,,,,,,,,,,,999,1,yes,no,no,0,2,2025-03-27_21h46.50.372,MID1.1,None,
,,999,1,0,Thu Mar 27 21:50:41 2025,3,loss.low,18.994655999995302,0.5,-1.5,19.512170499991043,22.993328290991485,4,8.003086416996666,26.99757941700227,-1.5,,,,,,,,,,,999,1,yes,no,no,0,2,2025-03-27_21h46.50.372,MID1.1,None,
,,999,1,0,Thu Mar 27 21:50:49 2025,4,loss.high,26.99867579099373,0.5,-5.0,27.510274207990733,30.990882375001092,6,9.992957875001593,36.991408292000415,-6.5,,,,,,,,,,,999,1,yes,no,no,0,2,2025-03-27_21h46.50.372,MID1.1,None,
,,999,1,0,Thu Mar 27 21:50:59 2025,5,reward.high,36.992285290994914,0.5,,37.49552429099276,40.992208166004275,4,8.004758249997394,44.9967830000096,-6.5,,,,,,,,,,,999,1,yes,no,no,0,2,2025-03-27_21h46.50.372,MID1.1,None,
,,999,1,0,Thu Mar 27 21:51:07 2025,6,reward.neut,44.9970999579964,0.5,,45.51189566600078,48.992557290999684,4,7.996769417004543,52.9937776250008,-6.5,,,,,,,,,,,999,1,yes,no,no,0,2,2025-03-27_21h46.50.372,MID1.1,None,
,,999,1,0,Thu Mar 27 21:51:15 2025,7,reward.low,52.99413574999198,0.5,,53.49766854099289,56.994183082992095,2,6.000966374995187,58.99498170800507,-6.5,,,,,,,,,,,999,1,yes,no,no,0,2,2025-03-27_21h46.50.372,MID1.1,None,
,,999,1,0,Thu Mar 27 21:51:21 2025,8,loss.high,58.99524216599821,0.52,-5.0,59.52655045800202,62.995714457996655,2,6.014118249993771,65.00929158300278,-11.5,,,,,,,,,,,999,1,yes,no,no,0,2,2025-03-27_21h46.50.372,MID1.1,None,
,,999,1,0,Thu Mar 27 21:51:28 2025,9,loss.high,65.00994691599044,0.54,-5.0,65.55984187500144,69.00732541599427,4,7.9990114999964135,73.00881366700924,-16.5,,,,,,,,,,,999,1,yes,no,no,0,2,2025-03-27_21h46.50.372,MID1.1,None,
,,999,1,0,Thu Mar 27 21:51:36 2025,10,loss.low,73.0092138750042,0.52,-1.5,73.53247391599871,76.99665879100212,4,7.999681375004002,81.0088107920019,-18.0,,,,,,,,,,,999,1,yes,no,no,0,2,2025-03-27_21h46.50.372,MID1.1,None,
,,999,1,0,Thu Mar 27 21:51:44 2025,11,loss.low,81.00962024999899,0.54,-1.5,81.55874366599892,85.01319116599916,6,10.014587833997211,91.02405954200367,-19.5,,,,,,,,,,,999,1,yes,no,no,0,2,2025-03-27_21h46.50.372,MID1.1,None,
,,999,1,0,Thu Mar 27 21:51:54 2025,12,reward.neut,91.0245214579918,0.52,,91.5489890829922,95.01295737500186,4,8.00379950000206,99.02816229200107,-19.5,,,,,,,,,,,999,1,yes,no,no,0,2,2025-03-27_21h46.50.372,MID1.1,None,
,,999,1,0,Thu Mar 27 21:52:02 2025,13,reward.neut,99.02859595799237,0.54,,99.57595499999297,103.02541691600345,6,10.002004916997976,109.03050612499646,-19.5,,,,,,,,,,,999,1,yes,no,no,0,2,2025-03-27_21h46.50.372,MID1.1,None,
,,999,1,0,Thu Mar 27 21:52:12 2025,14,reward.high,109.03132125000411,0.52,,109.56226049999532,113.0248831659992,4,7.997084625007119,117.02816375000111,-19.5,,,,,,,,,,,999,1,yes,no,no,0,2,2025-03-27_21h46.50.372,MID1.1,None,
,,999,1,0,Thu Mar 27 21:52:20 2025,15,reward.low,117.02860266600328,0.52,,117.55973666599311,121.02478974999394,6,9.99854200000118,127.02700279200508,-19.5,,0.516,,,,,,,,,999,1,yes,no,no,0,2,2025-03-27_21h46.50.372,MID1.1,None,
,,999,1,1,Thu Mar 27 21:55:30 2025,1,loss.low,9.27961204200983,0.55,-1.5,9.83334929200646,13.014911667007254,4,12.007471457996871,319.12963337500696,-1.5,,,5.009449917008169,9.279156709002564,0,"Miss!
-$1.50",-1.5,11.015528917007032,,,999,1,yes,no,no,0,2,2025-03-27_21h46.50.372,MID1.1,None,
,,999,1,1,Thu Mar 27 21:55:42 2025,2,reward.low,21.062924084006227,0.55,,21.617990375001682,25.031137042009505,6,14.01445691700792,333.1443872079981,-1.5,,,17.017217375003383,21.062640500007547,0,"Miss!
$0.00",-1.5,23.024515334007447,,,999,1,yes,no,no,0,2,2025-03-27_21h46.50.372,MID1.1,None,
,,999,1,1,Thu Mar 27 21:55:56 2025,3,loss.low,35.33043524999812,0.57,-1.5,35.904340875000344,39.032623874998535,6,14.014840499992715,347.1597343330068,-3.0,,,31.032183959003305,35.32954095900641,0,"Miss!
-$1.50",-3.0,37.03724074999627,,,999,1,yes,no,no,0,2,2025-03-27_21h46.50.372,MID1.1,None,
,,999,1,1,Thu Mar 27 21:56:10 2025,4,reward.high,49.26910900000075,0.55,,49.829275167008745,53.06264070900215,2,10.015546082999208,357.1763360000041,-3.0,,,45.048085917005665,49.26876437499595,0,"Miss!
$0.00",-3.0,51.05396900000051,,,999,1,yes,no,no,0,2,2025-03-27_21h46.50.372,MID1.1,None,
,,999,1,1,Thu Mar 27 21:56:20 2025,5,reward.low,59.09632175001025,0.57,,59.6699366249959,63.0639860000083,4,12.000503707997268,369.1772501670057,-3.0,,,55.06403633400623,59.096036417002324,0,"Miss!
$0.00",-3.0,61.06274204200599,,,999,1,yes,no,no,0,2,2025-03-27_21h46.50.372,MID1.1,None,
,,999,1,1,Thu Mar 27 21:56:32 2025,6,loss.neut,71.56381508400955,0.55,-0.0,72.11807079199934,75.06640275000245,6,14.016111916993395,383.19368429199676,-3.0,,,67.06486225000117,71.5630003749975,0,"Miss!
-$0.00",-3.0,73.06866804200399,,,999,1,yes,no,no,0,2,2025-03-27_21h46.50.372,MID1.1,None,
,,999,1,1,Thu Mar 27 21:56:46 2025,7,loss.high,85.53175175000797,0.55,,86.09029616700718,89.38253691700811,2,10.304184499997064,393.4982513330033,-3.0,0.2878424590016948,,81.08135725000466,85.531501999998,1,"Hit!
$0.00",-3.0,87.38845166700776,0.4892429169995012,,999,1,yes,no,no,0,2,2025-03-27_21h46.50.372,MID1.1,None,
,,999,1,1,Thu Mar 27 21:56:56 2025,8,reward.neut,95.6986457919993,0.55,0.0,96.25347237499955,99.64792229200248,4,12.278064208003343,405.7766550420056,-3.0,0.31699979200493544,,91.38588220899692,95.69822383399878,1,"Hit!
$0.00",-3.0,97.63319125000271,,,999,1,yes,no,no,0,2,2025-03-27_21h46.50.372,MID1.1,None,
,,999,1,1,Thu Mar 27 21:57:08 2025,9,reward.high,107.83178179200331,0.57,5.0,108.41768562499783,112.03158454199729,6,14.38407775000087,420.1613358330069,2.0,0.24861304099613335,,103.66454370900465,107.83152379200328,1,"Hit!
+$5.00",2.0,110.03514525000355,0.29245900000387337,,999,1,yes,no,no,0,2,2025-03-27_21h46.50.372,MID1.1,None,
